Name,Keyword,Snippet,Category
FM Get(RecordOpenCount),;fmgetrecordopencount,Get ( RecordOpenCount ),Get
FM Get(RecordOpenState),;fmgetrecordopenstate,Get ( RecordOpenState ),Get
FM Get(RegionMonitorEvents),;fmgetregionmonitorevents,Get ( RegionMonitorEvents ),Get
FM Get(RequestCount),;fmgetrequestcount,Get ( RequestCount ),Get
FM Get(RequestOmitState),;fmgetrequestomitstate,Get ( RequestOmitState ),Get
FM Get(RevertTransactionOnErrorState),;fmgetreverttransactiononerrorstate,Get ( RevertTransactionOnErrorState ),Get
FM Get(ScreenDepth),;fmgetscreendepth,Get ( ScreenDepth ),Get
FM Get(ScreenHeight),;fmgetscreenheight,Get ( ScreenHeight ),Get
FM Get(ScreenScaleFactor),;fmgetscreenscalefactor,Get ( ScreenScaleFactor ),Get
FM Get(ScreenWidth),;fmgetscreenwidth,Get ( ScreenWidth ),Get
FM Get(ScriptAnimationState),;fmgetscriptanimationstate,Get ( ScriptAnimationState ),Get
FM Get(ScriptName),;fmgetscriptname,Get ( ScriptName ),Get
FM Get(ScriptParameter),;fmgetscriptparameter,Get ( ScriptParameter ),Get
FM Get(ScriptResult),;fmgetscriptresult,Get ( ScriptResult ),Get
FM Get(SessionIdentifier),;fmgetsessionidentifier,Get ( SessionIdentifier ),Get
FM Get(SortState),;fmgetsortstate,Get ( SortState ),Get
FM Get(StatusAreaState),;fmgetstatusareastate,Get ( StatusAreaState ),Get
FM Get(SystemAppearance),;fmgetsystemappearance,Get ( SystemAppearance ),Get
FM Get(SystemDrive),;fmgetsystemdrive,Get ( SystemDrive ),Get
FM Get(SystemIPAddress),;fmgetsystemipaddress,Get ( SystemIPAddress ),Get
FM Get(SystemLanguage),;fmgetsystemlanguage,Get ( SystemLanguage ),Get
FM Get(SystemLocaleElements),;fmgetsystemlocaleelements,Get ( SystemLocaleElements ),Get
FM Get(SystemNICAddress),;fmgetsystemnicaddress,Get ( SystemNICAddress ),Get
FM Get(SystemPlatform),;fmgetsystemplatform,Get ( SystemPlatform ),Get
FM Get(SystemStorageAvailable),;fmgetsystemstorageavailable,Get ( SystemStorageAvailable ),Get
FM Get(SystemVersion),;fmgetsystemversion,Get ( SystemVersion ),Get
FM Get(TemporaryPath),;fmgettemporarypath,Get ( TemporaryPath ),Get
FM Get(TextRulerVisible),;fmgettextrulervisible,Get ( TextRulerVisible ),Get
FM Get(TotalRecordCount),;fmgettotalrecordcount,Get ( TotalRecordCount ),Get
FM Get(TouchKeyboardState),;fmgettouchkeyboardstate,Get ( TouchKeyboardState ),Get
FM Get(TransactionOpenState),;fmgettransactionopenstate,Get ( TransactionOpenState ),Get
FM Get(TriggerCurrentPanel),;fmgettriggercurrentpanel,Get ( TriggerCurrentPanel ),Get
FM Get(TriggerExternalEvent),;fmgettriggerexternalevent,Get ( TriggerExternalEvent ),Get
FM Get(TriggerGestureInfo),;fmgettriggergestureinfo,Get ( TriggerGestureInfo ),Get
FM Get(TriggerKeystroke),;fmgettriggerkeystroke,Get ( TriggerKeystroke ),Get
FM Get(TriggerModifierKeys),;fmgettriggermodifierkeys,Get ( TriggerModifierKeys ),Get
FM Get(TriggerTargetPanel),;fmgettriggertargetpanel,Get ( TriggerTargetPanel ),Get
FM Get(UserCount),;fmgetusercount,Get ( UserCount ),Get
FM Get(UserName),;fmgetusername,Get ( UserName ),Get
FM Get(UseSystemFormatsState),;fmgetusesystemformatsstate,Get ( UseSystemFormatsState ),Get
FM Get(UUID),;fmgetuuid,Get ( UUID ),Get
FM Get(UUIDNumber),;fmgetuuidnumber,Get ( UUIDNumber ),Get
FM Get(WindowContentHeight),;fmgetwindowcontentheight,Get ( WindowContentHeight ),Get
FM Get(WindowContentWidth),;fmgetwindowcontentwidth,Get ( WindowContentWidth ),Get
